pdb_id1,pdb_id2,tm_score,rmsd
6j15,2r0z,0.19601,0.0
6jp7,6lyn,0.42232,0.7764050364494324
3mnv,5e2u,0.36017,0.007347301580011845
3o11,6yhq,0.31115,0.16656354069709778
5uqy,4nhg,0.39098,0.09696254134178162
7m7i,6yxd,0.33201,2.445842981338501
6gc2,5jw3,0.3038,0.7282798886299133
4xp5,3t65,0.45601,0.18198996782302856
3b9k,6j5f,0.26617,0.01691715233027935
2r0l,4otx,0.99391,0.0
5l7x,5x2o,0.24226,0.35093361139297485
4iof,6e63,0.28317,0.15603670477867126
1ua6,3d85,0.46374,0.025533601641654968
1um5,6vx4,0.25611,1.1960753202438354
5epm,6q18,0.23455,0.13430196046829224
1e6o,5f6i,0.48828,0.12233710289001465
1bfv,7kba,0.16899,0.13887855410575867
5xcu,1bog,0.77352,0.0
5vpg,4kk5,0.21643,0.6002376675605774
7lbg,6ju0,0.25514,3.3336946964263916
2xtj,3ejz,0.22506,6.888331890106201
1n5y,4qth,0.25115,0.002359894337132573
5vjq,7lf1,0.14176,0.0
6ztf,6srv,0.14126,0.020503787323832512
3v7a,4jy6,0.13641,0.7492777705192566
2bob,6m58,0.26323,0.16311587393283844
3wlw,1rup,0.12441,0.18400150537490845
1kn4,6c5v,0.29465,1.1854534149169922
1e6o,6pbw,0.16559,5.349925994873047
7ekb,3rpi,0.61785,0.13204170763492584
6wiy,4hpo,0.35552,0.5668668746948242
6ujc,2yss,0.24186,0.0
3j70,3ve0,0.18261,0.15947237610816956
2fl5,5trp,0.21067,0.37535908818244934
2fjh,6hig,0.46447,0.006611325778067112
1emt,6mnq,0.28047,0.0059945606626570225
6x1w,7mlu,0.27858,1.0518121719360352
1kel,5v6l,0.22209,0.5287231206893921
4kk9,5tzu,0.36546,1.4818565845489502
3qnx,4eow,0.1471,0.0
4jdt,6sne,0.40449,0.4007672965526581
6bdz,6b0h,0.22211,0.44465696811676025
7e7e,7a65,0.22576,0.5350028872489929
6wjl,5te4,0.34744,0.5501877665519714
6nmu,5w3l,0.30331,0.04060555621981621
2w9d,4jy5,0.10394,0.2907615602016449
7vsu,1ngp,0.38457,0.04057292640209198
7ceb,6x1u,0.45958,0.1527559608221054
7cbp,5k9j,0.1452,1.0613740682601929
5cjo,4jpw,0.16763,1.163133144378662
1cfq,2dlf,0.27976,0.011490311473608017
1ob1,3c2a,0.32353,0.5452779531478882
1ggb,6wzt,0.207,0.014779466204345226
3wsq,1clo,0.20764,0.41368409991264343
2hrp,6b70,0.27815,1.798494815826416
4rfe,6bit,0.43614,0.030684126541018486
2q8b,3dvg,0.22032,0.1333930492401123
1n64,1lk3,0.29345,0.6382495760917664
6sxi,6a78,0.3859,0.005546937230974436
6mef,5uko,0.53055,0.5979734659194946
2ok0,5veb,0.36861,0.08244935423135757
2itd,6dc7,0.20651,0.0
6x5e,1fl3,0.50775,1.345468521118164
6xy2,6x58,0.26522,0.932340681552887
6i8s,2jix,0.25756,0.17698770761489868
4lqf,4khx,0.39751,0.004201759584248066
2fjh,1iai,0.32643,0.2808516323566437
4nrx,7su0,0.69113,0.30334925651550293
6lhq,6muf,0.1917,0.4426456093788147
7dfc,6u3z,0.30553,0.10032324492931366
6i8s,1zlv,0.16631,0.5516238808631897
6mwn,1xf2,0.23784,2.067441463470459
4k4m,2pw1,0.21825,0.007025514263659716
6jp7,1t2q,0.50577,1.8960756063461304
7ryv,4ffv,0.46064,0.1650141477584839
7bq5,4ffy,0.56248,0.45231446623802185
3l1o,6m2r,0.30626,0.026887480169534683
5gjt,7sfw,0.26592,0.16590628027915955
1u91,4r96,0.26293,1.3919527530670166
6wit,5uko,0.48535,0.3207603991031647
4wy7,7e9o,0.1838,2.227663278579712
3dv6,7l5j,0.27807,0.9016897082328796
6w0e,4xpa,0.25922,0.04972393810749054
4nzr,5k9o,0.18561,0.1381053924560547
7kql,7rxc,0.20013,0.002182199154049158
7pij,6w0g,0.22819,0.5731964111328125
2dtm,6h3h,0.32858,0.1567360758781433
6q1k,3mly,0.15039,5.254772663116455
4jam,6pzg,0.47723,0.16818742454051971
6mek,7mxd,0.14045,0.4654863774776459
1ct8,3m8o,0.29937,0.36113134026527405
3uo1,4q9r,0.1978,0.002140687545761466
1u8q,3bkc,0.52021,0.532314121723175
1a14,4rfo,0.33521,0.2942919135093689
5ucb,4lu5,0.53855,0.02832738682627678
3ojd,2adi,0.40293,0.8121197819709778
1jnl,5m63,0.13958,0.006741723977029324
1kcs,1b4j,0.44211,0.0
7kf0,3i2c,0.50326,0.02022416517138481
6j9o,1igy,0.56,0.3113519847393036
2r0k,6lyn,0.30286,0.016199566423892975
1dba,1kn2,0.33695,0.18616457283496857
1uwe,3se8,0.2064,0.4871097505092621
2bjm,1clz,0.2345,0.05668250098824501
2xwt,5e2u,0.61988,0.011474398896098137
4g6a,6k5i,0.18056,0.37490975856781006
6xlz,1igf,0.38447,0.4039282500743866
2o5z,5c8j,0.13887,0.25682950019836426
6db9,4gsd,0.24224,0.5716385841369629
6d11,6iap,0.29789,0.18282225728034973
6mtt,4c83,0.56575,0.36710259318351746
3zkm,4m1c,0.13807,0.436919629573822
1u8i,3oko,0.5883,0.3645561635494232
4g80,3u7y,0.13326,1.143025279045105
7ter,6a79,0.15696,0.5602800846099854
6vtw,5fcu,0.15054,0.33141329884529114
7r89,6mqe,0.18526,0.0
2b0s,3rkd,0.26739,0.5740624666213989
6mtt,6x78,0.39152,0.4387200176715851
3vrl,5t29,0.13794,0.20832763612270355
7fej,6hga,0.26209,0.0
1f58,6u8k,0.23065,0.22953535616397858
3cxh,6xuk,0.32846,0.4274856448173523
5vj6,3u7w,0.12117,0.5494145154953003
1d5i,4uv4,0.28255,0.2680760622024536
2g60,1n0x,0.26895,0.019241703674197197
5mp5,1hkl,0.5044,0.0
5tlk,3stz,0.46766,0.3490075469017029
6p4y,4u1g,0.26803,5.075987339019775
4s1r,6tko,0.1844,0.11770801246166229
5fuz,6idh,0.24021,1.1174226999282837
2o5x,6mzj,0.41055,0.34649983048439026
6s8i,3hzk,0.153,0.4813419580459595
1bm3,6ce0,0.11784,0.32544270157814026
5umn,3mnw,0.73721,0.0
5i6z,6mv5,0.80749,0.0
1y18,1ar1,0.29294,0.57070392370224
5fyl,3i02,0.39896,0.5861170291900635
6jwc,5c6t,0.20263,2.31044864654541
5w3m,4dcq,0.19997,0.01205597072839737
1ind,2hkh,0.34322,0.00095851079095155
7l79,7s11,0.23816,0.2302495539188385
4r0l,6xuk,0.57483,0.0027894112281501293
5uem,4mhj,0.50994,0.43156370520591736
6wx1,6iw0,0.269,0.3803611099720001
4oaw,2vis,0.24084,1.2997184991836548
1k4c,6mqc,0.16259,0.6966087818145752
1u8q,3idi,0.90703,0.3195011615753174
4qyo,4jy6,0.06814,0.0008802525699138641
1a6t,4rx4,0.32834,0.0
1k4c,3i2c,0.49525,0.381014347076416
2xqy,1jgl,0.43076,0.5532529950141907
5ggt,7kbt,0.22197,3.9734880924224854
5y2l,5hi3,0.3668,0.7492530941963196
5mu2,3ls4,0.35576,0.022021427750587463
6amm,2fed,0.23291,0.37235915660858154
6svl,3qrg,0.41528,0.04704760015010834
1jnl,1bvl,0.26935,0.7040562033653259
