pdb_id1,pdb_id2,tm_score,rmsd
6j15,2r0z,0.87466,0.8186038136482239
6jp7,6lyn,0.89804,1.6998353004455566
3mnv,5e2u,0.94534,1.1046605110168457
3o11,6yhq,0.94745,0.7343323826789856
5uqy,4nhg,0.48304,14.37838363647461
7m7i,6yxd,0.88628,1.1520187854766846
6gc2,5jw3,0.72375,3.26944899559021
4xp5,3t65,0.85547,2.0266177654266357
3b9k,6j5f,0.89922,0.8978615403175354
2r0l,4otx,0.92886,1.1576474905014038
5l7x,5x2o,0.91029,0.631047248840332
4iof,6e63,0.74128,3.4243686199188232
1ua6,3d85,0.49942,0.7866686582565308
1um5,6vx4,0.89161,0.6360363364219666
4qt5,5y11,0.56804,6.22487211227417
5epm,6q18,0.86753,1.1049823760986328
1e6o,5f6i,0.8134,2.640615224838257
1bfv,7kba,0.48254,0.7298394441604614
5xcu,1bog,0.53739,0.8951119780540466
5vpg,4kk5,0.82066,2.1981420516967773
7lbg,6ju0,0.52071,0.5164155960083008
2xtj,3ejz,0.49577,0.6959619522094727
1n5y,4qth,0.94481,0.6789664626121521
5vjq,7lf1,0.73751,3.1380503177642822
6ztf,6srv,0.89544,1.0231730937957764
3v7a,4jy6,0.69031,4.054327011108398
2bob,6m58,0.74687,3.3882689476013184
3wlw,1rup,0.88138,1.4991068840026855
1kn4,6c5v,0.74633,3.585066318511963
1e6o,6pbw,0.81645,2.307523488998413
7ekb,3rpi,0.90202,1.1890087127685547
6wiy,4hpo,0.53069,8.862309455871582
6ujc,2yss,0.89668,0.868778645992279
3j70,3ve0,0.80072,2.408501625061035
2fl5,5trp,0.51873,10.26992416381836
6wk4,1nsn,0.64815,4.674784183502197
2fjh,6hig,0.74155,3.6555776596069336
1emt,6mnq,0.72023,3.607793092727661
6x1w,7mlu,0.86346,0.8784680366516113
1kel,5v6l,0.57633,5.659523010253906
4kk9,5tzu,0.90721,1.5529422760009766
3qnx,4eow,0.63168,5.331345081329346
4jdt,6sne,0.76307,2.514561891555786
6bdz,6b0h,0.68608,4.01665735244751
7e7e,7a65,0.86764,1.2402421236038208
6wjl,5te4,0.93099,0.7072547674179077
6nmu,5w3l,0.93829,0.7712188363075256
2w9d,4jy5,0.83653,1.1577608585357666
7vsu,1ngp,0.61808,5.81648588180542
7ceb,6x1u,0.54061,0.7877379655838013
7cbp,5k9j,0.66456,4.519247531890869
4qt5,4nhg,0.463,14.27872085571289
5cjo,4jpw,0.79768,2.149670362472534
1cfq,2dlf,0.83746,1.1977641582489014
1ob1,3c2a,0.61506,5.878839015960693
1ggb,6wzt,0.64987,4.5603413581848145
3wsq,1clo,0.61972,5.530430793762207
2hrp,6b70,0.7538,3.671292304992676
4rfe,6bit,0.5259,8.700592041015625
1rur,1a7n,0.9523,0.6064920425415039
2q8b,3dvg,0.84366,1.0224190950393677
1n64,1lk3,0.94741,1.019162893295288
6sxi,6a78,0.88964,0.9980844259262085
6mef,5uko,0.8909,0.9514787793159485
2ok0,5veb,0.63192,5.039575099945068
2itd,6dc7,0.92759,1.0007390975952148
6x5e,1fl3,0.91063,0.9119027256965637
6xy2,6x58,0.59846,5.647461414337158
6i8s,2jix,0.6228,5.40778923034668
3iy7,5zia,0.4676,1.0881739854812622
1a7o,6jfh,0.4771,0.0
4lqf,4khx,0.59923,5.195690631866455
2fjh,1iai,0.92241,0.8608432412147522
4nrx,7su0,0.72471,3.9974093437194824
6lhq,6muf,0.48673,1.0150831937789917
7dfc,6u3z,0.76328,2.8687801361083984
6i8s,1zlv,0.51617,12.34994125366211
6mwn,1xf2,0.91778,1.5445940494537354
4k4m,2pw1,0.60102,5.044682025909424
6jp7,1t2q,0.61496,5.79743766784668
7ryv,4ffv,0.77045,3.214752435684204
7bq5,4ffy,0.93371,0.6609401106834412
3l1o,6m2r,0.9517,0.6430860161781311
5gjt,7sfw,0.82923,1.018106460571289
1u91,4r96,0.58297,5.943401336669922
6wit,5uko,0.89842,0.726198673248291
4wy7,7e9o,0.77354,2.6485700607299805
3dv6,7l5j,0.51218,0.8321813344955444
6w0e,4xpa,0.79558,2.78351092338562
4nzr,5k9o,0.82499,1.9197609424591064
7kql,7rxc,0.94463,0.758208155632019
7pij,6w0g,0.59585,5.921368598937988
2dtm,6h3h,0.70347,4.1825761795043945
6q1k,3mly,0.53891,10.560179710388184
4jam,6pzg,0.5657,6.409157752990723
6mek,7mxd,0.82223,2.3869168758392334
1ct8,3m8o,0.85351,1.3252205848693848
3uo1,4q9r,0.79243,2.4465103149414062
1u8q,3bkc,0.90739,0.8084456920623779
1a14,4rfo,0.50358,0.9691553711891174
5ucb,4lu5,0.73834,3.421402931213379
3ojd,2adi,0.93144,1.1771072149276733
1jnl,5m63,0.87192,1.1613491773605347
1kcs,1b4j,0.65954,4.558114051818848
7kf0,3i2c,0.93142,0.4597240388393402
6j9o,1igy,0.25907,0.6527132987976074
2r0k,6lyn,0.89103,1.5456244945526123
1dba,1kn2,0.70227,4.046694755554199
1uwe,3se8,0.64502,4.443470001220703
2bjm,1clz,0.48434,1.4344654083251953
2xwt,5e2u,0.66846,4.883523941040039
4g6a,6k5i,0.85277,1.9376165866851807
6xlz,1igf,0.54667,6.634742736816406
2o5z,5c8j,0.79555,2.6416633129119873
6db9,4gsd,0.76048,3.2268571853637695
6d11,6iap,0.62206,5.431093215942383
6mtt,4c83,0.87648,1.662773609161377
3zkm,4m1c,0.62613,5.083724498748779
