pdb_id1,pdb_id2,tm_score,rmsd
6j15,2r0z,0.96902,0.807523250579834
6jp7,6lyn,0.86336,1.6113018989562988
3mnv,5e2u,0.85072,2.418396472930908
3o11,6yhq,0.95849,0.7792888283729553
5uqy,4nhg,0.67596,4.534667491912842
7m7i,6yxd,0.89459,0.7471639513969421
6gc2,5jw3,0.88183,1.9581806659698486
4xp5,3t65,0.85345,1.930317997932434
3b9k,6j5f,0.95035,0.5694973468780518
2r0l,4otx,0.87485,1.821300983428955
5l7x,5x2o,0.9614,0.7486743927001953
4iof,6e63,0.68795,3.647203207015991
1ua6,3d85,0.49852,0.31882718205451965
1um5,6vx4,0.92931,0.7812506556510925
4qt5,5y11,0.65426,4.6251983642578125
5epm,6q18,0.91598,1.0900654792785645
1e6o,5f6i,0.81382,2.5732858180999756
1bfv,7kba,0.49069,0.7618432641029358
5xcu,1bog,0.50279,0.6282476782798767
5vpg,4kk5,0.93017,1.4172924757003784
7lbg,6ju0,0.48585,0.6520801782608032
2xtj,3ejz,0.48448,0.8648767471313477
1n5y,4qth,0.95437,0.8671457171440125
5vjq,7lf1,0.88619,1.9060001373291016
6ztf,6srv,0.86778,1.4088568687438965
3v7a,4jy6,0.60898,5.175115585327148
2bob,6m58,0.75336,3.5114073753356934
3wlw,1rup,0.89264,1.422283411026001
1kn4,6c5v,0.84073,2.1793391704559326
1e6o,6pbw,0.78969,2.8228070735931396
7ekb,3rpi,0.95197,0.9294612407684326
6wiy,4hpo,0.5118,7.67219877243042
6ujc,2yss,0.9655,0.5430487990379333
3j70,3ve0,0.85277,2.181760549545288
2fl5,5trp,0.48459,9.618584632873535
6wk4,1nsn,0.71217,3.992550849914551
2fjh,6hig,0.7792,3.0895042419433594
1emt,6mnq,0.77846,3.0723299980163574
6x1w,7mlu,0.90186,1.174252986907959
1kel,5v6l,0.68696,4.237295150756836
4kk9,5tzu,0.9402,1.1156361103057861
3qnx,4eow,0.74645,3.182209014892578
4jdt,6sne,0.85096,2.088486433029175
6bdz,6b0h,0.83733,2.510934352874756
7e7e,7a65,0.91747,0.9498257637023926
6wjl,5te4,0.96914,0.8198249936103821
6nmu,5w3l,0.94282,0.6604398488998413
2w9d,4jy5,0.85778,1.5323799848556519
7vsu,1ngp,0.58577,5.51062536239624
7ceb,6x1u,0.50658,0.6057044267654419
7cbp,5k9j,0.72913,4.0492048263549805
4qt5,4nhg,0.6786,4.472832679748535
5cjo,4jpw,0.78959,1.964925765991211
1cfq,2dlf,0.90728,0.6429353356361389
1ob1,3c2a,0.56665,6.084533214569092
1ggb,6wzt,0.83288,2.405130386352539
3wsq,1clo,0.62797,5.243734359741211
2hrp,6b70,0.83319,2.466125726699829
4rfe,6bit,0.50058,8.52081298828125
1rur,1a7n,0.93491,0.7631940245628357
2q8b,3dvg,0.859,1.7973464727401733
1n64,1lk3,0.95814,0.8186442255973816
6sxi,6a78,0.95788,0.48993539810180664
6mef,5uko,0.85877,1.938528060913086
2ok0,5veb,0.73192,3.8172965049743652
2itd,6dc7,0.90267,1.438214659690857
6x5e,1fl3,0.83115,2.3056375980377197
6xy2,6x58,0.59608,5.0560383796691895
6i8s,2jix,0.69143,4.186625003814697
3iy7,5zia,0.47687,0.5542873740196228
1a7o,6jfh,0.46152,0.0
4lqf,4khx,0.64472,5.01857852935791
2fjh,1iai,0.95262,1.101716160774231
4nrx,7su0,0.74586,3.570078134536743
6lhq,6muf,0.42248,1.650038242340088
7dfc,6u3z,0.77655,3.3700461387634277
6i8s,1zlv,0.94336,1.1290068626403809
6mwn,1xf2,0.90159,1.7952826023101807
4k4m,2pw1,0.62372,5.134856700897217
6jp7,1t2q,0.64329,5.118966579437256
7ryv,4ffv,0.8421,1.9903422594070435
7bq5,4ffy,0.92706,0.5419644713401794
3l1o,6m2r,0.95509,0.962285041809082
5gjt,7sfw,0.88587,0.7399612665176392
1u91,4r96,0.61072,5.293428897857666
6wit,5uko,0.96313,0.6000544428825378
4wy7,7e9o,0.84849,2.1427512168884277
3dv6,7l5j,0.4806,0.889760434627533
6w0e,4xpa,0.7929,3.045562744140625
4nzr,5k9o,0.83029,2.350013017654419
6olp,6b14,0.47557,0.9806643724441528
7kql,7rxc,0.95608,0.6461198925971985
7pij,6w0g,0.62483,5.079812526702881
2dtm,6h3h,0.69656,4.048162460327148
6q1k,3mly,0.49885,9.574079513549805
4jam,6pzg,0.52166,7.023444175720215
1ct8,3m8o,0.91333,1.4152470827102661
3uo1,4q9r,0.91813,1.413716435432434
1u8q,3bkc,0.94174,0.9380232095718384
1a14,4rfo,0.46077,0.7421226501464844
5ucb,4lu5,0.73466,3.402435302734375
3ojd,2adi,0.94247,1.230590581893921
1jnl,5m63,0.90441,1.3396689891815186
1kcs,1b4j,0.74551,3.586543083190918
7kf0,3i2c,0.94371,0.6427866220474243
6j9o,1igy,0.48557,0.6818227767944336
2r0k,6lyn,0.93433,1.113021969795227
1dba,1kn2,0.80117,2.8175554275512695
1uwe,3se8,0.74509,3.78186297416687
2bjm,1clz,0.45851,0.6742208003997803
2xwt,5e2u,0.70171,3.439723014831543
4g6a,6k5i,0.92231,1.5657885074615479
6xlz,1igf,0.55382,6.303631782531738
2o5z,5c8j,0.88216,1.9653434753417969
6db9,4gsd,0.77107,3.25642991065979
6vkn,3idi,0.48145,0.6909369230270386
6d11,6iap,0.75759,3.4479329586029053
6mtt,4c83,0.91492,1.3971019983291626
3zkm,4m1c,0.74289,3.012747049331665
1u8i,3oko,0.6016,5.415695667266846
4g80,3u7y,0.8629,1.9826467037200928
7ter,6a79,0.87106,1.2643431425094604
6vtw,5fcu,0.49836,8.21382999420166
7r89,6mqe,0.48033,0.5068398118019104
2b0s,3rkd,0.60543,5.30344295501709
6mtt,6x78,0.92514,0.9963783025741577
3vrl,5t29,0.79523,3.0635056495666504
7fej,6hga,0.44121,0.8257073760032654
1f58,6u8k,0.75302,3.428478479385376
3cxh,6xuk,0.48493,0.5878661870956421
4xny,1i8k,0.91568,0.5578910708427429
5vj6,3u7w,0.62482,4.82835054397583
1d5i,4uv4,0.71847,3.714848518371582
2g60,1n0x,0.77138,3.01102614402771
5mp5,1hkl,0.74642,3.4536755084991455
5tlk,3stz,0.90232,1.7725025415420532
6p4y,4u1g,0.94526,0.8575193285942078
4s1r,6tko,0.79988,2.5803544521331787
5fuz,6idh,0.88187,1.8149943351745605
2o5x,6mzj,0.95731,0.6459364295005798
6s8i,3hzk,0.44732,0.8653700947761536
1bm3,6ce0,0.70839,3.8178277015686035
5umn,3mnw,0.6697,4.541159629821777
5i6z,6mv5,0.85435,2.1412506103515625
6a0x,1jv5,0.96792,0.4453204870223999
1y18,1ar1,0.859,1.0547778606414795
5fyl,3i02,0.79936,2.046638011932373
6jwc,5c6t,0.90231,0.6536534428596497
5w3m,4dcq,0.43968,1.8723982572555542
3iy3,1j5o,0.49075,0.6327621340751648
1ind,2hkh,0.77691,2.6932802200317383
7l79,7s11,0.71315,4.269247055053711
4r0l,6xuk,0.49562,0.5097957253456116
5uem,4mhj,0.69017,4.38373327255249
6wx1,6iw0,0.95863,0.5429151058197021
4oaw,2vis,0.75693,3.31404709815979
1k4c,6mqc,0.71252,3.9044206142425537
1u8q,3idi,0.98399,0.6860742568969727
4qyo,4jy6,0.43807,0.6165710091590881
1a6t,4rx4,0.67121,4.6667799949646
1k4c,3i2c,0.86563,1.8216092586517334
2xqy,1jgl,0.82187,2.653738260269165
5ggt,7kbt,0.86718,1.1991655826568604
5y2l,5hi3,0.78148,3.1686086654663086
5mu2,3ls4,0.93329,1.3695608377456665
6amm,2fed,0.85475,2.3073699474334717
6svl,3qrg,0.68212,4.28745698928833
4xh2,1fl6,0.73698,2.7931320667266846
1jnl,1bvl,0.96155,0.6227239370346069
